Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-06 06:59:03,1769,57
kujawsko-pomorskie,no-data,2020-05-06 06:59:03,561,30
lubelskie,no-data,2020-05-06 06:59:03,374,14
lubuskie,no-data,2020-05-06 06:59:03,92,0
łódzkie,no-data,2020-05-06 06:59:03,1088,35
małopolskie,no-data,2020-05-06 06:59:03,997,32
mazowieckie,no-data,2020-05-06 06:59:03,2631,214
opolskie,no-data,2020-05-06 06:59:03,440,30
podkarpackie,no-data,2020-05-06 06:59:03,366,24
podlaskie,no-data,2020-05-06 06:59:03,379,6
pomorskie,no-data,2020-05-06 06:59:03,451,19
śląskie,no-data,2020-05-06 06:59:03,2790,133
świętokrzyskie,no-data,2020-05-06 06:59:03,300,9
warmińsko-mazurskie,no-data,2020-05-06 06:59:03,154,1
wielkopolskie,no-data,2020-05-06 06:59:03,1598,98
zachodniopomorskie,no-data,2020-05-06 06:59:03,441,14
