Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-05-30 14:59:02,2570,102
kujawsko-pomorskie,no-data,2020-05-30 14:59:02,594,46
lubelskie,no-data,2020-05-30 14:59:02,486,15
lubuskie,no-data,2020-05-30 14:59:02,116,0
łódzkie,no-data,2020-05-30 14:59:02,1488,64
małopolskie,no-data,2020-05-30 14:59:02,1203,40
mazowieckie,no-data,2020-05-30 14:59:02,3494,262
opolskie,no-data,2020-05-30 14:59:02,642,47
podkarpackie,no-data,2020-05-30 14:59:02,382,35
podlaskie,no-data,2020-05-30 14:59:02,448,9
pomorskie,no-data,2020-05-30 14:59:02,552,34
śląskie,no-data,2020-05-30 14:59:02,8097,204
świętokrzyskie,no-data,2020-05-30 14:59:02,444,22
warmińsko-mazurskie,no-data,2020-05-30 14:59:02,179,1
wielkopolskie,no-data,2020-05-30 14:59:02,2146,151
zachodniopomorskie,no-data,2020-05-30 14:59:02,535,19
