Voivodeship,County/City,Last Update,Confirmed,Deaths
dolnośląskie,no-data,2020-06-18 10:59:02,2 814,129
kujawsko-pomorskie,no-data,2020-06-18 10:59:02,630,49
lubelskie,no-data,2020-06-18 10:59:02,555,16
lubuskie,no-data,2020-06-18 10:59:02,149,0
łódzkie,no-data,2020-06-18 10:59:02,2 605,117
małopolskie,no-data,2020-06-18 10:59:02,1 552,40
mazowieckie,no-data,2020-06-18 10:59:02,4 507,308
opolskie,no-data,2020-06-18 10:59:02,818,50
podkarpackie,no-data,2020-06-18 10:59:02,504,40
podlaskie,no-data,2020-06-18 10:59:02,646,9
pomorskie,no-data,2020-06-18 10:59:02,596,38
śląskie,no-data,2020-06-18 10:59:02,11 455,276
świętokrzyskie,no-data,2020-06-18 10:59:02,658,27
warmińsko-mazurskie,no-data,2020-06-18 10:59:02,201,1
wielkopolskie,no-data,2020-06-18 10:59:02,2 420,166
zachodniopomorskie,no-data,2020-06-18 10:59:02,591,20
